Cell,Lon,Lat,ANT_DIRECTION,ANT_BEAM_WIDTH,UARFCN,SC,RNC-ID,C-ID,LAC
U09868_LVI_CHR_RBU_270_U,25.92906,48.29708,270.00,63.00,10762,97,,09868,57931
U09871_LVI_CHR_STA_290_U,25.94083,48.27533,290.00,63.00,10712,219,,09871,57931
U09874_LVI_CHR_STA_290_U,25.94083,48.27533,290.00,63.00,10737,219,,09874,57931
U09877_LVI_CHR_STA_290_U,25.94083,48.27533,290.00,63.00,10762,219,,09877,57931
U09881_LVI_CHR_MIZ_340_U,25.92139,48.29083,340.00,65.00,10712,59,,09881,57932
U09884_LVI_CHR_MIZ_340_U,25.92139,48.29083,340.00,65.00,10737,59,,09884,57932
U09887_LVI_CHR_MIZ_340_U,25.92139,48.29083,340.00,65.00,10762,59,,09887,57932
U09891_LVI_CHR_FDK_285_U,25.93139,48.27639,285.00,63.00,10712,42,,09891,57931
U09894_LVI_CHR_FDK_285_U,25.93139,48.27639,285.00,63.00,10737,42,,09894,57931
U09897_LVI_CHR_FDK_285_U,25.93139,48.27639,285.00,63.00,10762,42,,09897,57931
U09901_LVI_CHR_NEZ_285_U,25.93889,48.26678,285.00,63.00,10712,411,,09901,57942
U09904_LVI_CHR_NEZ_285_U,25.93889,48.26678,285.00,63.00,10737,411,,09904,57942
U09907_LVI_CHR_NEZ_285_U,25.93889,48.26678,285.00,63.00,10762,411,,09907,57942
U09911_LVI_CHR_KMR_030_U,25.92950,48.25711,30.00,65.00,10712,123,,09911,57942
U09912_LVI_CHR_KMR_130_U,25.92950,48.25711,130.00,65.00,10712,124,,09912,57942
U09913_LVI_CHR_KMR_230_U,25.92950,48.25711,230.00,65.00,10712,125,,09913,57942
U09914_LVI_CHR_KMR_030_U,25.92950,48.25711,30.00,65.00,10737,123,,09914,57942
U09915_LVI_CHR_KMR_130_U,25.92950,48.25711,130.00,65.00,10737,124,,09915,57942
U09916_LVI_CHR_KMR_230_U,25.92950,48.25711,230.00,65.00,10737,125,,09916,57942
U09917_LVI_CHR_KMR_030_U,25.92950,48.25711,30.00,65.00,10762,123,,09917,57942
U09918_LVI_CHR_KMR_130_U,25.92950,48.25711,130.00,65.00,10762,124,,09918,57942
U09919_LVI_CHR_KMR_230_U,25.92950,48.25711,230.00,65.00,10762,125,,09919,57942
U09921_LVI_CHR_RAT_060_U,25.93478,48.29167,60.00,65.00,10712,136,,09921,57931
U09924_LVI_CHR_RAT_060_U,25.93478,48.29167,60.00,65.00,10737,136,,09924,57931
U09927_LVI_CHR_RAT_060_U,25.93478,48.29167,60.00,65.00,10762,136,,09927,57931
U09941_LVI_CHR_28C_020_U,25.93000,48.29564,20.00,65.00,10712,,,09941,57931
U09942_LVI_CHR_28C_110_U,25.93008,48.29559,110.00,65.00,10712,,,09942,57931
U09943_LVI_CHR_28C_200_U,25.93008,48.29559,200.00,65.00,10712,,,09943,57931
U09944_LVI_CHR_28C_020_U,25.93000,48.29564,20.00,65.00,10737,,,09944,57931
U09945_LVI_CHR_28C_110_U,25.93008,48.29559,110.00,65.00,10737,,,09945,57931
U09946_LVI_CHR_28C_200_U,25.93008,48.29559,200.00,65.00,10737,,,09946,57931
U09947_LVI_CHR_28C_020_U,25.93000,48.29564,20.00,65.00,10762,,,09947,57931
U09948_LVI_CHR_28C_110_U,25.93008,48.29559,110.00,65.00,10762,,,09948,57931
